2020,Janeiro,Quente,Muita
2020,Fevereiro,Quente,Muita
2020,Março,Ameno,Média
2020,Abril,Ameno,Pouca
2020,Maio,Frio,Nada
2020,Junho,Frio,Nada
2020,Julho,Frio,Pouca
2020,Agosto,Ameno,Nada
2020,Setembro,Ameno,Pouca
2020,Outubro,Quente,Média
2020,Novembro,Quente,Muita
2020,Dezembro,Quente,Muita
2021,Janeiro,Quente,Muita
2021,Fevereiro,Quente,Média
2021,Março,Ameno,Muita
2021,Abril,Ameno,Pouca
2021,Maio,Frio,Nada
2021,Junho,Frio,Nada
2021,Julho,Frio,Pouca
2021,Agosto,Frio,Nada
2021,Setembro,Ameno,Média
2021,Outubro,Quente,Muita
2021,Novembro,Quente,Média
2021,Dezembro,Quente,Muita
2022,Janeiro,Quente,Muita
2022,Fevereiro,Quente,Muita
2022,Março,Ameno,Média
2022,Abril,Ameno,Pouca
2022,Maio,Frio,Nada
2022,Junho,Frio,Pouca
2022,Julho,Frio,Nada
2022,Agosto,Ameno,Nada
2022,Setembro,Ameno,Pouca
2022,Outubro,Quente,Média
2022,Novembro,Quente,Muita
2022,Dezembro,Quente,Muita
2023,Janeiro,Quente,Muita
2023,Fevereiro,Quente,Média
2023,Março,Quente,Muita
2023,Abril,Ameno,Pouca
2023,Maio,Ameno,Nada
2023,Junho,Frio,Nada
2023,Julho,Frio,Nada
2023,Agosto,Frio,Pouca
2023,Setembro,Ameno,Média
2023,Outubro,Quente,Muita
2023,Novembro,Quente,Muita
2023,Dezembro,Quente,Média
2024,Janeiro,Quente,Muita
2024,Fevereiro,Quente,Muita
2024,Março,Ameno,Média
2024,Abril,Ameno,Pouca
2024,Maio,Frio,Nada
2024,Junho,Frio,Nada
2024,Julho,Frio,Pouca
2024,Agosto,Frio,Nada
2024,Setembro,Ameno,Pouca
2024,Outubro,Quente,Média
2024,Novembro,Quente,Muita
2024,Dezembro,Quente,Muita